ID
1,30,30
2,40,40,27,27,41,41,32,32
3,39,39,19,19,16,16
4,18,18
5,22,22
6,43,43,20,20,28,28
7,38,38
8,14,14,21,21,36,36
9,23,23,37,37,17,17
10,24,24,26,26
11,33,33,34,34,15,15,35,35
12,29,29,31,31
13,42,42,25,25
