ID
1,97,97
2
3,64,64
4,85,85
5
6
7,91,91,59,59
8
9
10,58,58
11
12,61,61
13
14
15,78,78
16
17
18,71,71
19
20,62,62,88,88
21,94,94,73,73,95,95
22,82,82,80,80
23,103,103,76,76
24
25,90,90
26,98,98
27,72,72,89,89
28,75,75,74,74
29,84,84
30
31,87,87,92,92
32,83,83,99,99
33,79,79
34,77,77
35
36,102,102,55,55
37
38
39,67,67,65,65
40
41,81,81
42,86,86
43,101,101
44,100,100
45,56,56,57,57,70,70
46
47,68,68,60,60,66,66
48
49,63,63
50,96,96
51
52
53,93,93,69,69
54
