ID
1
2,33,33
3
4
5,22,22
6,28,28,35,35
7,29,29
8,30,30
9
10,24,24
11,39,39
12,25,25,38,38
13,31,31
14,36,36
15,32,32
16
17,27,27
18
19,37,37
20,26,26,23,23
21,34,34
