ID
1,699,699,647,647
2,322,322,666,666,572,572
3,263,263,371,371,574,574,273,273
4,264,264,219,219,490,490
5,652,652,612,612,526,526,643,643
6,487,487,537,537,649,649,496,496
7,323,323,359,359,310,310,403,403
8,583,583,689,689,261,261
9,181,181,543,543,566,566
10,709,709,601,601,182,182
11,654,654,626,626,328,328,293,293
12,223,223,191,191
13,330,330,187,187,530,530,609,609
14,412,412,542,542,534,534,593,593
15,276,276,297,297,708,708
16,657,657,298,298,160,160,364,364
17,291,291,271,271,569,569,692,692
18,396,396,533,533
19,457,457,405,405,168,168,332,332
20,346,346,347,347,622,622,547,547
21,304,304,404,404,523,523,234,234
22,679,679,684,684,642,642,721,721
23,361,361,216,216,712,712,711,711
24,500,500,625,625,242,242,344,344
25,398,398,159,159,357,357,680,680
26,268,268,183,183,307,307
27,587,587,586,586,233,233
28,659,659,681,681,524,524,520,520
29,420,420,272,272,484,484
30,238,238,302,302,466,466,188,188
31,590,590,207,207,532,532,196,196
32,546,546,655,655,237,237,651,651
33,179,179,410,410,164,164,606,606
34,544,544,220,220,215,215,540,540
35,278,278,486,486,607,607
36,418,418,447,447,471,471,376,376
37,230,230,257,257,324,324,312,312
38,195,195,553,553,390,390,671,671
39,246,246,251,251,345,345,337,337
40,248,248,617,617,161,161,548,548
41,413,413,393,393,559,559,636,636
42,394,394,415,415,199,199,581,581
43,571,571,687,687,171,171,198,198
44,567,567,512,512,177,177,175,175
45,279,279,213,213,176,176,446,446
46,249,249,667,667,513,513
47,253,253,167,167,499,499
48,468,468,482,482,473,473,222,222
49,488,488,575,575,417,417,691,691
50,313,313,568,568,541,541
51,342,342,600,600,634,634,656,656
52,507,507,595,595
53,285,285,498,498,501,501,173,173
54,422,422,438,438
55,210,210,710,710,694,694,352,352
56,614,614,714,714
57,280,280,717,717
58,454,454,445,445,458,458,385,385
59,722,722,690,690
60,363,363,663,663,639,639,383,383
61,258,258,619,619,648,648,380,380
62,333,333,456,456,306,306,243,243
63,429,429,369,369,645,645
64,190,190,480,480,395,395,426,426
65,162,162,697,697,508,508,281,281
66,228,228,521,521,676,676,299,299
67,653,653,517,517,539,539
68,599,599,589,589
69,378,378,514,514,367,367,665,665
70,317,317,596,596,561,561,284,284
71,474,474,300,300,423,423,462,462
72,311,311,401,401,430,430,325,325
73,224,224,226,226,469,469,400,400
74,641,641,485,485,585,585,538,538
75,386,386,225,225
76,421,421,353,353
77,588,588,178,178,282,282,402,402
78,529,529,565,565,592,592,303,303
79,338,338,580,580,406,406,615,615
80,702,702,203,203,528,528,535,535
81,432,432,434,434,370,370,444,444
82,289,289,464,464,479,479
83,305,305,550,550,186,186,623,623
84,202,202,703,703,231,231,604,604
85,172,172,632,632,208,208,492,492
86,582,582,700,700,706,706,658,658
87,629,629,185,185,287,287
88,527,527,556,556,718,718,704,704
89,416,416,633,633,701,701,688,688
90,476,476,448,448
91,620,620,308,308,611,611,358,358
92,672,672,621,621,519,519,365,365
93,209,209,259,259,661,661,503,503
94,240,240,713,713,497,497,194,194
95,288,288
96,336,336,483,483,443,443,366,366
97,664,664,584,584,411,411,707,707
98,267,267,350,350,387,387,554,554
99,453,453,724,724,635,635
100,472,472,340,340,180,180,388,388
101,668,668,646,646,265,265
102,362,362,551,551,329,329
103,354,354,510,510,214,214,260,260
104,491,491,334,334,594,594,560,560
105,630,630,169,169,525,525
106,408,408,650,650,562,562,670,670
107,579,579,379,379,549,549,301,301
108,603,603,266,266,669,669,637,637
109,425,425,184,184,321,321,424,424
110,674,674,563,563,518,518,515,515
111,250,250,618,618,343,343
112,705,705,254,254,695,695,716,716
113,368,368,170,170,460,460,427,427
114,335,335,509,509,232,232,628,628
115,463,463,241,241,211,211,494,494
116,341,341,407,407,602,602,573,573
117,192,192,319,319,389,389,493,493
118,163,163,348,348,435,435,478,478
119,374,374,375,375,360,360,204,204
120,578,578,696,696,174,174,318,318
121,428,428,391,391,459,459,206,206
122,436,436,467,467
123,437,437,470,470,465,465,452,452
124,392,392,477,477,189,189,451,451
125,373,373,252,252,326,326
126,682,682,577,577,613,613,505,505
127,205,205,675,675
128,598,598,384,384,212,212,608,608
129,552,552,381,381,262,262,715,715
130,506,506,693,693,638,638
131,166,166,419,419,450,450,433,433
132,686,686,377,377,504,504,292,292
133,461,461,481,481,439,439,442,442
134,399,399,440,440,683,683
135,331,331,673,673,414,414,720,720
136,616,616,591,591,290,290,309,309
137,227,227,286,286,640,640,698,698
138,247,247,677,677,678,678
139,217,217,255,255,576,576
140,314,314,536,536,256,256,269,269
141,275,275,229,229,605,605,320,320
142,502,502,516,516,555,555,200,200
143,221,221,295,295,349,349,283,283
144,382,382,522,522,245,245,277,277
145,239,239,339,339,545,545,193,193
146,244,244,564,564,570,570
147,327,327,610,610,294,294,597,597
148,315,315,511,511,351,351,270,270
149,660,660,531,531,356,356,685,685
150,409,409,557,557
151,558,558,274,274,644,644
152,475,475,165,165,449,449,355,355
153,631,631,662,662,495,495,627,627
154,197,197,235,235,441,441,218,218
155,236,236,397,397
156,719,719,316,316,489,489
157,723,723,201,201,624,624
158,372,372,431,431,455,455,296,296
